NBR,AIRLINES,ACTIONCODE,ARR,DEP,From,To,DOS,OverN,SEATS,TYPE,ORR,PRE,ETA_R,ETD_R,ETA_C,ETD_C,NEX,DES,SERVICE TYPE,1,2,3,4,5,6,7
1232,VN,K,,47,2024-04-01,2024-10-25,0030500,0,280,332,,,,16:30,,16:30,MUC,MUC,J,,,3,,5,,
1233,VN,K,,773,2024-04-01,2024-10-26,1234060,0,305,359,,,,13:45,,13:45,SYD,SYD,J,1,2,3,4,,6,
1234,VN,K,604,,2024-04-01,2024-10-26,1234560,0,184,321,BKK,BKK,9:15,,9:15,,,,J,1,2,3,4,5,6,
1235,VN,K,,340,2024-04-01,2024-10-25,0000500,0,305,359,,,,17:05,,17:05,NGO,NGO,J,,,,,5,,
1236,VN,K,523,,2024-04-01,2024-10-26,1000000,0,184,321,PVG,PVG,11:40,,11:40,,,,J,1,,,,,,
1237,VN,K,,655,2024-04-01,2024-10-21,1000000,0,184,321,,,,7:20,,7:20,SIN,SIN,J,1,,,,,,
1238,VN,K,,542,2024-04-01,2024-10-26,1000000,0,184,321,,,,7:55,,7:55,HGH,HGH,J,1,,,,,,
1239,VN,K,,502,2024-04-01,2024-10-26,1234560,0,203,321,,,,3:00,,3:00,CAN,CAN,J,1,2,3,4,5,6,
1240,VN,K,772,,2024-04-01,2024-10-26,1000000,0,305,359,SYD,SYD,9:10,,9:10,,,,J,1,,,,,,
1241,VN,K,503,,2024-04-01,2024-10-26,0204060,0,203,321,CAN,CAN,10:25,,10:25,,,,J,,2,,4,,6,
1242,VN,K,780,,2024-04-01,2024-10-26,1234560,0,305,359,MEL,MEL,9:25,,9:25,,,,J,1,2,3,4,5,6,
1243,VN,K,571,,2024-04-01,2024-10-26,1234560,0,184,321,TPE,TPE,3:30,,3:30,,,,J,1,2,3,4,5,6,
1244,VN,K,921,,2024-04-01,2024-10-26,1234060,0,184,321,PNH,PNH,8:25,,8:25,,,,J,1,2,3,4,,6,
1245,VN,K,581,,2024-04-01,2024-10-26,1234560,0,184,321,KHH,KHH,2:40,,2:40,,,,J,1,2,3,4,5,6,
1246,VN,K,,651,2024-04-01,2024-10-26,1234560,0,184,321,,,,1:55,,1:55,SIN,SIN,J,1,2,3,4,5,6,
1247,VN,K,,631,2024-04-01,2024-10-26,1234560,0,184,321,,,,2:50,,2:50,CGK,CGK,J,1,2,3,4,5,6,
1248,VN,K,,522,2024-04-01,2024-10-26,1030500,0,184,321,,,,0:25,,0:25,PVG,PVG,J,1,,3,,5,,
1249,VN,K,543,,2024-04-01,2024-10-25,1000000,0,184,321,HGH,HGH,17:35,,17:35,,,,J,1,,,,,,
1250,VN,K,503,,2024-04-01,2024-10-25,1030500,0,203,321,CAN,CAN,10:25,,10:25,,,,J,1,,3,,5,,
1251,VN,K,,408,2024-04-01,2024-10-25,1234500,0,311,789,,,,16:45,,16:45,ICN,ICN,J,1,2,3,4,5,,
1252,VN,K,1826,,2024-04-01,2024-10-26,1000000,0,184,321,PQC,PQC,9:00,,9:00,,,,J,1,,,,,,
1253,VN,K,1826,,2024-04-01,2024-10-26,0234560,0,184,321,PQC,PQC,9:10,,9:10,,,,J,,2,3,4,5,6,
1254,VN,K,1277,,2024-04-01,2024-10-26,1234560,0,184,321,THD,THD,9:50,,9:50,,,,J,1,2,3,4,5,6,
1255,VN,K,105,,2024-04-01,2024-10-26,0204060,0,184,321,DAD,DAD,0:45,,0:45,,,,J,,2,,4,,6,
1256,VN,K,105,,2024-04-01,2024-10-05,1000000,0,184,321,DAD,DAD,0:45,,0:45,,,,J,1,,,,,,
1257,VN,K,1820,,2024-04-01,2024-05-16,0234000,0,203,321,PQC,PQC,2:10,,2:10,,,,J,,2,3,4,,,
1258,VN,K,,1176,2024-04-01,2024-10-25,1030500,0,184,321,,,,2:10,,2:10,HPH,HPH,J,1,,3,,5,,
1259,VN,K,,134,2024-04-01,2024-10-25,1000500,0,184,321,,,,8:20,,8:20,DAD,DAD,J,1,,,,5,,
1260,VN,K,,1378,2024-04-01,2024-09-02,1000000,0,184,321,,,,13:00,,13:00,HUI,HUI,J,1,,,,,,
1261,VN,K,,142,2024-04-01,2024-09-03,1200000,0,178,321,,,,14:15,,14:15,DAD,DAD,J,1,2,,,,,
1262,VN,K,,1346,2024-04-01,2024-10-26,1234560,0,184,321,,,,7:10,,7:10,CXR,CXR,J,1,2,3,4,5,6,
1263,VN,K,1373,,2024-04-01,2024-10-26,1234560,0,184,321,HUI,HUI,8:20,,8:20,,,,J,1,2,3,4,5,6,
1264,VN,K,1824,,2024-04-01,2024-10-26,1234560,0,184,321,PQC,PQC,7:00,,7:00,,,,J,1,2,3,4,5,6,
1265,VN,K,,256,2024-04-01,2024-05-16,1234060,0,305,359,,,,13:45,,13:45,HAN,HAN,J,1,2,3,4,,6,
1266,VN,K,1890,,2024-04-01,2024-06-26,0230000,0,68,AT7,VCS,VCS,0:45,,0:45,,,,J,,2,3,,,,
1267,VN,K,1890,,2024-04-01,2024-09-02,1000000,0,68,AT7,VCS,VCS,0:45,,0:45,,,,J,1,,,,,,
1268,VN,K,,1354,2024-04-01,2024-05-16,1230000,0,184,321,,,,13:05,,13:05,CXR,CXR,J,1,2,3,,,,
1269,VN,K,1381,,2024-04-01,2024-05-16,1000000,0,184,321,DLI,DLI,2:45,,2:45,,,,J,1,,,,,,
1270,VN,K,265,,2024-04-01,2024-05-16,1204560,0,311,789,HAN,HAN,15:45,,15:45,,,,J,1,2,,4,5,6,
1271,VN,K,,110,2024-04-01,2024-10-25,1030500,0,184,321,,,,0:10,,0:10,DAD,DAD,J,1,,3,,5,,
1272,VN,K,1347,,2024-04-01,2024-10-26,0000500,0,184,321,CXR,CXR,10:20,,10:20,,,,J,,,,,5,,
1273,VN,K,1347,,2024-04-01,2024-10-26,1030000,0,184,321,CXR,CXR,10:25,,10:25,,,,J,1,,3,,,,
1274,VN,K,,1266,2024-04-01,2024-10-21,1000000,0,184,321,,,,7:00,,7:00,VII,VII,J,1,,,,,,
1275,VN,K,,1857,2024-04-01,2024-10-26,1230500,0,68,AT7,,,,1:55,,1:55,VCS,VCS,J,1,2,3,,5,,
1276,VN,K,,1827,2024-04-01,2024-10-26,1204060,0,184,321,,,,6:10,,6:10,PQC,PQC,J,1,2,,4,,6,
1277,VN,K,,1827,2024-04-01,2024-10-26,0030500,0,184,321,,,,6:15,,6:15,PQC,PQC,J,,,3,,5,,
1278,VN,K,,1829,2024-04-01,2024-05-16,1000000,0,184,321,,,,8:40,,8:40,PQC,PQC,J,1,,,,,,
1279,VN,K,,1835,2024-04-01,2024-10-21,1000000,0,184,321,,,,10:10,,10:10,PQC,PQC,J,1,,,,,,
1280,VN,K,,1374,2024-04-01,2024-10-26,1000500,0,184,321,,,,8:35,,8:35,HUI,HUI,J,1,,,,5,,
1281,VN,K,,1186,2024-04-01,2024-10-26,1030500,0,184,321,,,,11:05,,11:05,HPH,HPH,J,1,,3,,5,,
1282,VN,K,,1262,2024-04-01,2024-10-26,1030500,0,184,321,,,,0:05,,0:05,VII,VII,J,1,,3,,5,,
1283,VN,K,,1272,2024-04-01,2024-05-16,1034500,0,184,321,,,,23:45,,23:45,THD,THD,J,1,,3,4,5,,
1284,VN,K,1187,,2024-04-01,2024-10-26,1204060,0,184,321,HPH,HPH,16:05,,16:05,,,,J,1,2,,4,,6,
1285,VN,K,147,,2024-04-01,2024-05-16,1204060,0,184,321,DAD,DAD,16:55,,16:55,,,,J,1,2,,4,,6,
1286,VN,K,,1404,2024-04-01,2024-10-26,1030500,0,203,321,,,,0:20,,0:20,VDH,VDH,J,1,,3,,5,,
1287,VN,K,,106,2024-04-01,2024-05-16,1234500,0,184,321,,,,23:00,,23:00,DAD,DAD,J,1,2,3,4,5,,
1288,VN,K,1263,,2024-04-01,2024-10-26,1234500,0,184,321,VII,VII,4:35,,4:35,,,,J,1,2,3,4,5,,
1289,VN,K,,1368,2024-04-01,2024-10-25,1234500,0,184,321,,,,22:50,,22:50,HUI,HUI,J,1,2,3,4,5,,
1290,VN,K,1822,,2024-04-01,2024-10-26,1234500,0,184,321,PQC,PQC,4:35,,4:35,,,,J,1,2,3,4,5,,
1291,VN,K,115,,2024-04-01,2024-10-26,1234560,0,184,321,DAD,DAD,5:15,,5:15,,,,J,1,2,3,4,5,6,
1292,VN,K,,1276,2024-04-01,2024-10-26,1234560,0,184,321,,,,5:05,,5:05,THD,THD,J,1,2,3,4,5,6,
1293,VN,K,1341,,2024-04-01,2024-10-26,1234560,0,184,321,CXR,CXR,3:00,,3:00,,,,J,1,2,3,4,5,6,
1294,VN,K,,1350,2024-04-01,2024-10-26,0030500,0,184,321,,,,11:30,,11:30,CXR,CXR,J,,,3,,5,,
1295,VN,K,139,,2024-04-01,2024-10-26,1234560,0,184,321,DAD,DAD,13:05,,13:05,,,,J,1,2,3,4,5,6,
1296,VN,K,1415,,2024-04-01,2024-10-26,1234560,0,203,321,BMV,BMV,14:15,,14:15,,,,J,1,2,3,4,5,6,
1297,VN,K,,1660,2024-04-01,2024-10-26,1030500,0,203,321,,,,0:40,,0:40,TBB,TBB,J,1,,3,,5,,
1298,VN,K,,118,2024-04-01,2024-10-26,1230560,0,184,321,,,,1:55,,1:55,DAD,DAD,J,1,2,3,,5,6,
1299,VN,K,,1823,2024-04-01,2024-10-26,1230560,0,184,321,,,,1:20,,1:20,PQC,PQC,J,1,2,3,,5,6,
1300,VN,K,,1821,2024-04-01,2024-05-16,1234500,0,203,321,,,,23:00,,23:00,PQC,PQC,J,1,2,3,4,5,,
1301,VN,K,,1182,2024-04-01,2024-10-26,1234560,0,203,321,,,,5:25,,5:25,HPH,HPH,J,1,2,3,4,5,6,
1302,VN,K,119,,2024-04-01,2024-10-26,1234560,0,184,321,DAD,DAD,6:05,,6:05,,,,J,1,2,3,4,5,6,
1303,VN,K,,1885,2024-04-01,2024-10-26,1234560,0,68,AT7,,,,8:10,,8:10,VCS,VCS,J,1,2,3,4,5,6,
1304,VN,K,,1372,2024-04-01,2024-10-26,1234560,0,184,321,,,,4:25,,4:25,HUI,HUI,J,1,2,3,4,5,6,
1305,VN,K,,114,2024-04-01,2024-10-26,1234560,0,184,321,,,,1:00,,1:00,DAD,DAD,J,1,2,3,4,5,6,
1306,VN,K,,1891,2024-04-01,2024-10-25,0000500,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,,,,,5,,
1307,VN,K,,1891,2024-04-01,2024-06-26,1030000,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,1,,3,,,,
1308,VN,K,,1344,2024-04-01,2024-10-26,1230560,0,184,321,,,,5:15,,5:15,CXR,CXR,J,1,2,3,,5,6,
1309,VN,K,1273,,2024-04-01,2024-05-16,1234500,0,184,321,THD,THD,4:40,,4:40,,,,J,1,2,3,4,5,,
1310,VN,K,1265,,2024-04-01,2024-10-26,1234560,0,184,321,VII,VII,8:45,,8:45,,,,J,1,2,3,4,5,6,
1311,VN,K,,1376,2024-04-01,2024-05-16,1234560,0,184,321,,,,12:10,,12:10,HUI,HUI,J,1,2,3,4,5,6,
1312,VN,K,1377,,2024-04-01,2024-05-16,1234560,0,184,321,HUI,HUI,16:05,,16:05,,,,J,1,2,3,4,5,6,
1313,VN,K,249,,2024-04-01,2024-05-16,1234560,0,311,789,HAN,HAN,10:45,,10:45,,,,J,1,2,3,4,5,6,
1314,VN,K,1465,,2024-04-01,2024-10-26,1234560,0,184,321,VCL,VCL,8:35,,8:35,,,,J,1,2,3,4,5,6,
1315,VN,K,1661,,2024-04-01,2024-10-26,1030500,0,203,321,TBB,TBB,4:15,,4:15,,,,J,1,,3,,5,,
1316,VN,K,,1825,2024-04-01,2024-10-26,1234560,0,184,321,,,,3:50,,3:50,PQC,PQC,J,1,2,3,4,5,6,
1317,VN,K,1834,,2024-04-01,2024-10-26,1234560,0,184,321,PQC,PQC,13:20,,13:20,,,,J,1,2,3,4,5,6,
1318,VN,K,,1350,2024-04-01,2024-05-16,1204060,0,184,321,,,,11:30,,11:30,CXR,CXR,J,1,2,,4,,6,
1319,VN,K,,1468,2024-04-01,2024-10-21,1000000,0,184,321,,,,11:00,,11:00,VCL,VCL,J,1,,,,,,
1320,VN,K,131,,2024-04-01,2024-10-21,1000000,0,184,321,DAD,DAD,9:55,,9:55,,,,J,1,,,,,,
1321,VN,K,,1857,2024-04-01,2024-04-05,0000060,0,68,AT7,,,,1:55,,1:55,VCS,VCS,J,,,,,,6,
1322,VN,K,,1422,2024-04-01,2024-10-26,0200000,0,184,321,,,,9:00,,9:00,PXU,PXU,J,,2,,,,,
1323,VN,K,,1264,2024-04-01,2024-10-21,1000000,0,184,321,,,,4:20,,4:20,VII,VII,J,1,,,,,,
1324,VN,K,1393,,2024-04-01,2024-05-16,0204060,0,184,321,UIH,UIH,3:40,,3:40,,,,J,,2,,4,,6,
1325,VN,K,1661,,2024-04-01,2024-05-16,0204060,0,203,321,TBB,TBB,4:15,,4:15,,,,J,,2,,4,,6,
1326,VN,K,,1404,2024-04-01,2024-05-16,0200000,0,203,321,,,,0:20,,0:20,VDH,VDH,J,,2,,,,,
1327,VN,K,205,,2024-04-01,2024-05-16,1234567,0,184,321,HAN,HAN,0:15,,0:15,,,,J,1,2,3,4,5,6,7
1328,VN,K,243,,2024-04-01,2024-10-26,1234567,0,367,781,HAN,HAN,1:15,,1:15,,,,J,1,2,3,4,5,6,7
1329,VN,K,,130,2024-04-01,2024-10-26,1234060,0,184,321,,,,6:05,,6:05,DAD,DAD,J,1,2,3,4,,6,
1330,VN,K,109,,2024-04-01,2024-10-26,1234560,0,184,321,DAD,DAD,3:50,,3:50,,,,J,1,2,3,4,5,6,
1331,VN,K,123,,2024-04-01,2024-10-26,1234560,0,184,321,DAD,DAD,7:25,,7:25,,,,J,1,2,3,4,5,6,
1332,VN,K,,126,2024-04-01,2024-10-26,1234560,0,184,321,,,,4:45,,4:45,DAD,DAD,J,1,2,3,4,5,6,
1333,VN,K,,1394,2024-04-01,2024-10-26,1234560,0,184,321,,,,8:25,,8:25,UIH,UIH,J,1,2,3,4,5,6,
1334,VN,K,1820,,2024-04-01,2024-05-16,1000560,0,203,321,PQC,PQC,2:10,,2:10,,,,J,1,,,,5,6,
1335,VN,K,1375,,2024-04-01,2024-10-26,1234060,0,184,321,HUI,HUI,12:25,,12:25,,,,J,1,2,3,4,,6,
1336,VN,K,,1340,2024-04-01,2024-10-25,1234500,0,184,321,,,,23:40,,23:40,CXR,CXR,J,1,2,3,4,5,,
1337,VN,K,107,,2024-04-01,2024-05-16,1234560,0,184,321,DAD,DAD,3:05,,3:05,,,,J,1,2,3,4,5,6,
1338,VN,K,1171,,2024-04-01,2024-05-16,1234560,0,184,321,HPH,HPH,1:40,,1:40,,,,J,1,2,3,4,5,6,
1339,VN,K,1177,,2024-04-01,2024-10-26,1234560,0,184,321,HPH,HPH,7:15,,7:15,,,,J,1,2,3,4,5,6,
1340,VN,K,1183,,2024-04-01,2024-10-26,1234560,0,203,321,HPH,HPH,10:35,,10:35,,,,J,1,2,3,4,5,6,
1341,VN,K,1267,,2024-04-01,2024-10-26,1234560,0,184,321,VII,VII,11:30,,11:30,,,,J,1,2,3,4,5,6,
1342,VN,K,,1382,2024-04-01,2024-10-26,1234560,0,184,321,,,,3:55,,3:55,DLI,DLI,J,1,2,3,4,5,6,
1343,VN,K,1393,,2024-04-01,2024-10-26,1030500,0,184,321,UIH,UIH,3:40,,3:40,,,,J,1,,3,,5,,
1344,VN,K,1858,,2024-04-02,2024-10-25,0004000,0,68,AT7,VCS,VCS,7:45,,7:45,,,,J,,,,4,,,
1345,VN,K,1347,,2024-04-02,2024-10-26,0200060,0,184,321,CXR,CXR,10:20,,10:20,,,,J,,2,,,,6,
1346,VN,K,1347,,2024-04-02,2024-10-26,0004000,0,184,321,CXR,CXR,10:15,,10:15,,,,J,,,,4,,,
1347,VN,K,,138,2024-04-02,2024-10-26,0234560,0,184,321,,,,9:00,,9:00,DAD,DAD,J,,2,3,4,5,6,
1348,VN,K,,1272,2024-04-02,2024-05-16,0200000,0,184,321,,,,23:45,,23:45,THD,THD,J,,2,,,,,
1349,VN,K,,1262,2024-04-02,2024-10-26,0204000,0,184,321,,,,0:05,,0:05,VII,VII,J,,2,,4,,,
1350,VN,K,,1660,2024-04-02,2024-05-16,0204000,0,203,321,,,,0:40,,0:40,TBB,TBB,J,,2,,4,,,
1351,VN,K,,1186,2024-04-02,2024-10-26,0204060,0,184,321,,,,11:05,,11:05,HPH,HPH,J,,2,,4,,6,
1352,VN,K,,1278,2024-04-02,2024-05-31,0004060,0,184,321,,,,11:00,,11:00,THD,THD,J,,,,4,,6,
1353,VN,K,,1278,2024-04-02,2024-10-26,0200000,0,184,321,,,,11:05,,11:05,THD,THD,J,,2,,,,,
1354,VN,K,,134,2024-04-02,2024-10-26,0230060,0,184,321,,,,8:20,,8:20,DAD,DAD,J,,2,3,,,6,
1355,VN,K,,1374,2024-04-02,2024-10-26,0230060,0,184,321,,,,8:35,,8:35,HUI,HUI,J,,2,3,,,6,
1356,VN,K,,1829,2024-04-02,2024-05-16,0230060,0,184,321,,,,8:40,,8:40,PQC,PQC,J,,2,3,,,6,
1357,VN,K,,1835,2024-04-02,2024-10-26,0234500,0,184,321,,,,10:10,,10:10,PQC,PQC,J,,2,3,4,5,,
1358,VN,K,131,,2024-04-02,2024-10-26,0234560,0,184,321,DAD,DAD,9:55,,9:55,,,,J,,2,3,4,5,6,
1359,VN,K,1828,,2024-04-02,2024-05-16,0234560,0,184,321,PQC,PQC,11:45,,11:45,,,,J,,2,3,4,5,6,
1360,VN,K,,1264,2024-04-02,2024-10-26,0234560,0,184,321,,,,4:20,,4:20,VII,VII,J,,2,3,4,5,6,
1361,VN,K,1890,,2024-04-02,2024-06-27,0004000,0,68,AT7,VCS,VCS,0:45,,0:45,,,,J,,,,4,,,
1362,VN,K,1287,,2024-04-02,2024-10-26,0204060,0,184,321,VDO,VDO,4:05,,4:05,,,,J,,2,,4,,6,
1363,VN,K,,110,2024-04-02,2024-10-26,0200000,0,184,321,,,,0:00,,0:00,DAD,DAD,J,,2,,,,,
1364,VN,K,,110,2024-04-02,2024-10-26,0004000,0,184,321,,,,0:10,,0:10,DAD,DAD,J,,,,4,,,
1365,VN,K,,1468,2024-04-02,2024-05-16,0204060,0,184,321,,,,11:00,,11:00,VCL,VCL,J,,2,,4,,6,
1366,VN,K,,146,2024-04-02,2024-10-25,0204000,0,184,321,,,,13:10,,13:10,DAD,DAD,J,,2,,4,,,
1367,VN,K,1858,,2024-04-02,2024-10-25,0200500,0,68,AT7,VCS,VCS,7:45,,7:45,,,,J,,2,,,5,,
1368,VN,K,30,,2024-04-02,2024-10-26,0204007,0,274,789,FRA,FRA,0:35,,0:35,,,,J,,2,,4,,,7
1369,VN,K,976,,2024-04-02,2024-10-26,0004060,0,178,321,DEL,DEL,23:25,,23:25,,,,J,,,,4,,6,
1370,VN,K,,655,2024-04-02,2024-10-26,0230560,0,184,321,,,,7:20,,7:20,SIN,SIN,J,,2,3,,5,6,
1371,VN,K,772,,2024-04-02,2024-10-26,0234560,0,305,359,SYD,SYD,9:10,,9:10,,,,J,,2,3,4,5,6,
1372,VN,K,30,,2024-04-02,2024-06-14,0000500,0,274,789,FRA,FRA,0:35,,0:35,,,,J,,,,,5,,
1373,VN,K,48,,2024-04-02,2024-10-26,0000500,0,280,332,MUC,MUC,23:10,,23:10,,,,J,,,,,5,,
1374,VN,K,,607,2024-04-03,2024-10-26,0034560,0,184,321,,,,9:55,,9:55,BKK,BKK,J,,,3,4,5,6,
1375,VN,K,523,,2024-04-03,2024-10-25,0030500,0,184,321,PVG,PVG,11:40,,11:40,,,,J,,,3,,5,,
1376,VN,K,351,,2024-04-03,2024-10-23,0030000,0,184,321,FUK,FUK,5:45,,5:45,,,,J,,,3,,,,
1377,VN,K,,1278,2024-04-03,2024-10-26,0000500,0,184,321,,,,11:05,,11:05,THD,THD,J,,,,,5,,
1378,VN,K,,252,2024-04-03,2024-05-16,0034060,0,311,789,,,,9:40,,9:40,HAN,HAN,J,,,3,4,,6,
1379,VN,K,1351,,2024-04-03,2024-10-26,0030000,0,184,321,CXR,CXR,15:05,,15:05,,,,J,,,3,,,,
1380,VN,K,1187,,2024-04-03,2024-10-26,0030500,0,184,321,HPH,HPH,16:05,,16:05,,,,J,,,3,,5,,
1381,VN,K,1269,,2024-04-03,2024-05-16,0030500,0,184,321,VII,VII,16:55,,16:55,,,,J,,,3,,5,,
1382,VN,K,147,,2024-04-03,2024-05-16,0030500,0,184,321,DAD,DAD,16:55,,16:55,,,,J,,,3,,5,,
1383,VN,K,105,,2024-04-03,2024-10-25,0030000,0,184,321,DAD,DAD,0:45,,0:45,,,,J,,,3,,,,
1384,VN,K,,1278,2024-04-03,2024-05-31,0030000,0,184,321,,,,11:05,,11:05,THD,THD,J,,,3,,,,
1385,VN,K,,1344,2024-04-04,2024-10-26,0004000,0,184,321,,,,5:15,,5:15,CXR,CXR,J,,,,4,,,
1386,VN,K,,118,2024-04-04,2024-10-26,0004000,0,184,321,,,,1:55,,1:55,DAD,DAD,J,,,,4,,,
1387,VN,K,,1404,2024-04-04,2024-05-16,0004000,0,203,321,,,,0:20,,0:20,VDH,VDH,J,,,,4,,,
1388,VN,K,,134,2024-04-04,2024-10-26,0004000,0,184,321,,,,8:20,,8:20,DAD,DAD,J,,,,4,,,
1389,VN,K,,1374,2024-04-04,2024-10-26,0004000,0,184,321,,,,8:35,,8:35,HUI,HUI,J,,,,4,,,
1390,VN,K,,1823,2024-04-04,2024-10-26,0004000,0,184,321,,,,1:20,,1:20,PQC,PQC,J,,,,4,,,
1391,VN,K,,1893,2024-04-04,2024-10-26,0004000,0,68,AT7,,,,0:45,,0:45,VCS,VCS,J,,,,4,,,
1392,VN,K,,1354,2024-04-04,2024-05-16,0004560,0,184,321,,,,13:05,,13:05,CXR,CXR,J,,,,4,5,6,
1393,VN,K,,1378,2024-04-04,2024-08-31,0004560,0,184,321,,,,13:00,,13:00,HUI,HUI,J,,,,4,5,6,
1394,VN,K,341,,2024-04-04,2024-05-02,0004000,0,184,321,NGO,NGO,5:45,,5:45,,,,J,,,,4,,,
1395,VN,K,567,,2024-04-04,2024-10-26,0004000,0,184,321,KMG,KMG,21:05,,21:05,,,,C,,,,4,,,
1396,VN,K,,655,2024-04-04,2024-06-06,0004000,0,184,321,,,,7:20,,7:20,SIN,SIN,J,,,,4,,,
1397,VN,K,,773,2024-04-05,2024-10-26,0000500,0,305,359,,,,13:45,,13:45,SYD,SYD,J,,,,,5,,
1398,VN,K,921,,2024-04-05,2024-10-25,0000500,0,184,321,PNH,PNH,8:25,,8:25,,,,J,,,,,5,,
1399,VN,K,,142,2024-04-05,2024-08-30,0000500,0,178,321,,,,14:15,,14:15,DAD,DAD,J,,,,,5,,
1400,VN,K,,1188,2024-04-05,2024-05-16,0000500,0,184,321,,,,13:30,,13:30,HPH,HPH,J,,,,,5,,
1401,VN,K,,256,2024-04-05,2024-05-16,0000500,0,305,359,,,,13:45,,13:45,HAN,HAN,J,,,,,5,,
1402,VN,K,,146,2024-04-05,2024-10-26,0000500,0,184,321,,,,13:10,,13:10,DAD,DAD,J,,,,,5,,
1403,VN,K,1381,,2024-04-05,2024-05-16,0000500,0,184,321,DLI,DLI,2:45,,2:45,,,,J,,,,,5,,
1404,VN,K,,262,2024-04-05,2024-05-16,0000500,0,311,789,,,,12:30,,12:30,HAN,HAN,J,,,,,5,,
1405,VN,K,,1422,2024-04-05,2024-10-26,0000500,0,184,321,,,,8:45,,8:45,PXU,PXU,J,,,,,5,,
1406,VN,K,,1829,2024-04-05,2024-05-16,0000500,0,184,321,,,,8:40,,8:40,PQC,PQC,J,,,,,5,,
1407,VN,K,,146,2024-04-05,2024-10-26,1030060,0,184,321,,,,13:10,,13:10,DAD,DAD,J,1,,3,,,6,
1408,VN,K,,130,2024-04-05,2024-10-25,0000500,0,184,321,,,,6:05,,6:05,DAD,DAD,J,,,,,5,,
1409,VN,K,,1340,2024-04-06,2024-10-19,0000060,0,184,321,,,,23:40,,23:40,CXR,CXR,J,,,,,,6,
1410,VN,K,1405,,2024-04-06,2024-10-20,0000060,0,203,321,VDH,VDH,4:35,,4:35,,,,J,,,,,,6,
1411,VN,K,1381,,2024-04-06,2024-05-04,0000060,0,184,321,DLI,DLI,2:45,,2:45,,,,J,,,,,,6,
1412,VN,K,,1272,2024-04-06,2024-05-16,0000060,0,184,321,,,,23:45,,23:45,THD,THD,J,,,,,,6,
1413,VN,K,1263,,2024-04-06,2024-10-26,0000060,0,184,321,VII,VII,4:35,,4:35,,,,J,,,,,,6,
1414,VN,K,,1368,2024-04-06,2024-10-19,0000060,0,184,321,,,,22:50,,22:50,HUI,HUI,J,,,,,,6,
1415,VN,K,,1821,2024-04-06,2024-05-16,0000060,0,203,321,,,,23:00,,23:00,PQC,PQC,J,,,,,,6,
1416,VN,K,1822,,2024-04-06,2024-10-26,0000060,0,184,321,PQC,PQC,4:35,,4:35,,,,J,,,,,,6,
1417,VN,K,,1891,2024-04-06,2024-09-28,0000060,0,68,AT7,,,,22:15,,22:15,VCS,VCS,J,,,,,,6,
1418,VN,K,,110,2024-04-06,2024-10-19,0000060,0,184,321,,,,0:00,,0:00,DAD,DAD,J,,,,,,6,
1419,VN,K,,1380,2024-04-06,2024-05-16,0000060,0,184,321,,,,0:05,,0:05,DLI,DLI,J,,,,,,6,
1420,VN,K,,1392,2024-04-06,2024-05-16,0000060,0,184,321,,,,0:00,,0:00,UIH,UIH,J,,,,,,6,
1421,VN,K,,1262,2024-04-06,2024-10-26,0000060,0,184,321,,,,0:05,,0:05,VII,VII,J,,,,,,6,
1422,VN,K,,1660,2024-04-06,2024-05-16,0000060,0,203,321,,,,0:40,,0:40,TBB,TBB,J,,,,,,6,
1423,VN,K,,1404,2024-04-06,2024-05-16,0000060,0,203,321,,,,0:20,,0:20,VDH,VDH,J,,,,,,6,
1424,VN,K,,408,2024-04-06,2024-10-19,0000060,0,311,789,,,,16:45,,16:45,ICN,ICN,J,,,,,,6,
1425,VN,K,581,,2024-04-07,2024-10-20,0000007,0,184,321,KHH,KHH,2:40,,2:40,,,,J,,,,,,,7
1426,VN,K,571,,2024-04-07,2024-10-20,0000007,0,184,321,TPE,TPE,3:30,,3:30,,,,J,,,,,,,7
1427,VN,K,1890,,2024-04-07,2024-05-19,0000007,0,68,AT7,VCS,VCS,0:45,,0:45,,,,J,,,,,,,7
1428,VN,K,,1380,2024-04-07,2024-05-16,0000007,0,184,321,,,,0:05,,0:05,DLI,DLI,J,,,,,,,7
1429,VN,K,1347,,2024-04-07,2024-10-20,0000007,0,184,321,CXR,CXR,10:20,,10:20,,,,J,,,,,,,7
1430,VN,K,,1857,2024-04-07,2024-10-20,0000007,0,68,AT7,,,,1:55,,1:55,VCS,VCS,J,,,,,,,7
1431,VN,K,1171,,2024-04-07,2024-05-16,0000007,0,184,321,HPH,HPH,1:40,,1:40,,,,J,,,,,,,7
1432,VN,K,105,,2024-04-07,2024-09-29,0000007,0,184,321,DAD,DAD,0:45,,0:45,,,,J,,,,,,,7
1433,VN,K,,1378,2024-04-16,2024-06-04,0200000,0,184,321,,,,13:00,,13:00,HUI,HUI,J,,2,,,,,
1434,VN,K,,1378,2024-04-17,2024-09-04,0030000,0,184,321,,,,13:00,,13:00,HUI,HUI,J,,,3,,,,
1435,VN,K,,7352,2024-04-18,2024-05-01,0200507,0,184,321,,,,10:35,,10:35,CXR,CXR,G,,2,,,5,,7
1436,VN,K,7387,,2024-04-18,2024-05-01,0000060,0,184,321,DLI,DLI,12:45,,12:45,,,,G,,,,,,6,
